geneID,Cond WT Rep 1,Cond WT Rep 2,Cond WT Rep 3,Cond Mt Rep 1,Cond Mt Rep 2,Cond Mt Rep 3
Solyc00g016900.1.1,0,0,0,0,0,0
Solyc00g016910.1.1,0,0,0,0,0,0
Solyc00g017210.1.1,0,0,0,0,0,0
Solyc00g017220.1.1,0,0,0,0,0,0
Solyc00g017230.1.1,0,0,0,0,0,0
Solyc00g017530.1.1,0,0,0,0,0,0
Solyc00g017540.1.1,0,0,0,0,0,0
Solyc00g017550.1.1,0,0,0,0,0,0
Solyc00g017750.1.1,0,0,0,0,0,0
Solyc00g017760.1.1,0,0,0,0,0,0
Solyc00g017860.1.1,0,0,0,0,0,0
Solyc00g017870.1.1,0,0,0,0,0,0
Solyc00g017880.1.1,0,0,0,0,0,0
Solyc00g017890.1.1,0,0,0,0,0,0
Solyc00g017900.1.1,0,0,0,0,0,0
Solyc00g017910.1.1,0,0,0,0,0,0
Solyc00g017920.1.1,0,0,0,0,0,0
Solyc00g017930.1.1,0,0,0,0,0,0
Solyc00g018760.1.1,0,0,0,0,0,0
Solyc00g018770.1.1,0,0,0,0,0,0
Solyc00g018970.1.1,0,0,0,0,0,0
Solyc00g019610.1.1,0,0,0,0,0,0
Solyc00g019620.1.1,0,0,0,0,0,0
Solyc00g019630.1.1,0,0,0,0,0,0
Solyc00g019730.1.1,2,1,8,3,8,2
Solyc00g019740.1.1,8,2,8,2,16,7
Solyc00g019750.1.1,0,0,0,1,2,0
Solyc00g019950.1.1,0,5,0,0,8,3
Solyc00g019960.1.1,2,2,1,3,2,0
Solyc00g019970.2.1,2,0,0,3,0,2
Solyc00g019980.2.1,2,2,2,2,9,7
Solyc00g019990.1.1,0,0,0,0,0,0
Solyc00g020000.1.1,1,0,0,0,2,0
Solyc00g020010.1.1,2,0,2,3,5,2
Solyc00g020020.2.1,3,0,0,4,5,2
Solyc00g020030.1.1,0,0,0,0,0,1
Solyc00g020040.1.1,2,1,1,2,7,5
Solyc00g020440.1.1,0,0,0,0,0,0
Solyc00g020540.1.1,25,12,41,95,67,48
Solyc00g020840.2.1,2,2,0,1,3,1
Solyc00g020940.1.1,0,0,0,0,0,0
Solyc00g020950.1.1,0,0,0,0,0,0
Solyc00g020960.1.1,0,0,0,0,0,0
Solyc00g020970.1.1,0,0,0,0,0,0
Solyc00g020980.1.1,0,0,0,0,0,0
Solyc00g020990.1.1,0,0,0,0,0,0
Solyc00g021490.1.1,0,0,0,0,0,0
Solyc00g021500.1.1,0,0,0,0,0,0
Solyc00g021510.1.1,0,0,0,0,0,0
Solyc00g021520.1.1,0,0,0,0,0,0
Solyc00g021530.1.1,0,0,0,0,0,0
Solyc00g021630.1.1,0,4,6,2,0,4
Solyc00g021640.2.1,0,2,0,5,6,1
Solyc00g021650.1.1,0,0,0,0,0,0
Solyc00g021660.1.1,0,0,0,0,0,0
Solyc00g022070.1.1,0,0,0,0,0,0
Solyc00g022080.1.1,0,0,0,0,0,0
Solyc00g022090.1.1,0,0,0,0,0,0
Solyc00g022100.1.1,17,8,22,12,10,21
Solyc00g022110.2.1,24,9,18,36,62,36
Solyc00g022920.1.1,0,0,0,0,0,0
Solyc00g023020.1.1,0,0,0,0,0,0
Solyc00g023030.1.1,0,0,0,0,0,0
Solyc00g023040.1.1,0,0,0,0,0,0
Solyc00g023050.1.1,0,0,0,0,0,0
Solyc00g023250.1.1,0,0,0,0,0,0
Solyc00g023260.1.1,0,0,0,0,0,0
Solyc00g023270.1.1,0,0,0,0,0,0
Solyc00g023470.1.1,0,0,0,0,1,0
Solyc00g023570.1.1,1,0,0,0,0,0
Solyc00g023580.1.1,0,0,0,0,0,1
Solyc00g023590.2.1,0,0,0,0,2,2
Solyc00g023600.1.1,0,0,0,0,1,0
Solyc00g023700.2.1,0,0,0,0,0,2
Solyc00g023710.1.1,0,0,0,0,0,0
Solyc00g024010.1.1,0,0,0,0,0,0
Solyc00g024020.1.1,0,0,0,0,0,0
Solyc00g024030.1.1,0,0,0,0,0,0
Solyc00g024040.1.1,0,0,0,0,0,0
Solyc00g024050.1.1,0,0,0,0,0,0
Solyc00g024150.2.1,787,908,543,703,700,549
Solyc00g024160.1.1,1,3,0,4,2,2
Solyc00g024170.1.1,0,0,0,0,0,0
Solyc00g024370.1.1,0,0,0,0,0,0
Solyc00g024570.1.1,0,0,0,0,2,0
Solyc00g024670.1.1,0,0,0,0,0,0
Solyc00g024680.1.1,0,0,0,0,0,0
Solyc00g024690.1.1,0,0,0,0,0,0
Solyc00g025290.1.1,4,12,0,23,10,6
Solyc00g025300.1.1,0,0,0,0,0,0
Solyc00g025400.2.1,2,0,0,0,0,1
Solyc00g025500.1.1,0,0,0,0,0,0
Solyc00g025510.1.1,0,0,0,0,0,0
Solyc00g025520.1.1,0,0,0,0,0,0
Solyc00g025530.1.1,0,0,0,0,0,0
Solyc00g025540.1.1,0,0,0,0,0,0
Solyc00g025650.1.1,0,0,0,0,0,0
Solyc00g025660.1.1,0,0,0,0,0,0
Solyc00g026160.2.1,2,1,7,7,4,3
Solyc00g026860.1.1,0,0,0,0,0,0
Solyc00g026870.1.1,0,0,0,0,0,0
Solyc00g026880.1.1,0,0,0,0,0,0
Solyc00g026890.1.1,0,0,0,0,0,0
Solyc00g026900.1.1,0,0,0,0,0,0
Solyc00g027120.1.1,0,0,1,2,2,1
Solyc00g027130.1.1,0,0,0,0,0,0
