Taxonomy,Sample,Abundance,basin,Phylum,Class,Order,Family,Core,Depth
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),CS_2_812,216,Caspian,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),2,8-12 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),Med_48,144,Mediterranean,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),1,4-8 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),CS_48,224,Caspian,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),1,4-8 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,CS_2_04,180,Caspian,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,2,0-4 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,CS,367,Caspian,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,,
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,CS_2_1216,153,Caspian,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,2,12-16 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,Med_04,919,Mediterranean,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,1,0-4 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,CS_2_2024,347,Caspian,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,2,20-24 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,Med_1216,1157,Mediterranean,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,1,12-16 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,CS_2_3235,327,Caspian,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,2,32-35 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,Med_1620,382,Mediterranean,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,1,16-20 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,CS_2_48,421,Caspian,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,2,4-8 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,Med_2428,739,Mediterranean,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,1,24-28 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,CS_2_812,347,Caspian,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,2,8-12 cm
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales,Med_48,467,Mediterranean,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,1,4-8 cm
